nohup: ignoring input
{"step": 1820, "loss": 0.5041571259498596, "train_mean_reward": 0.9740627604166667, "eval_mean_reward": 0.8977722222222223}
{"step": 1830, "loss": 0.5177150368690491, "train_mean_reward": 0.9748440104166667, "eval_mean_reward": 0.8977722222222223}
{"step": 1840, "loss": 0.5069490075111389, "train_mean_reward": 0.9756252604166666, "eval_mean_reward": 0.8977722222222223}
{"step": 1850, "loss": 0.506897509098053, "train_mean_reward": 0.9717190104166666, "eval_mean_reward": 0.8977722222222223}
{"step": 1860, "loss": 0.5285983085632324, "train_mean_reward": 0.9701565104166667, "eval_mean_reward": 0.8977722222222223}
{"step": 1870, "loss": 0.5178181529045105, "train_mean_reward": 0.9709377604166667, "eval_mean_reward": 0.8977722222222223}
{"step": 1880, "loss": 0.4882594048976898, "train_mean_reward": 0.9725002604166667, "eval_mean_reward": 0.8977722222222223}
{"step": 1890, "loss": 0.4556393027305603, "train_mean_reward": 0.9709377604166668, "eval_mean_reward": 0.8977722222222223}
{"step": 1900, "loss": 0.5235102772712708, "train_mean_reward": 0.9693752604166667, "eval_mean_reward": 0.8977722222222223}
{"step": 1910, "loss": 0.5209798812866211, "train_mean_reward": 0.965469010416667, "eval_mean_reward": 0.8977722222222223}
{"step": 1920, "loss": 0.5020807981491089, "train_mean_reward": 0.9654690104166669, "eval_mean_reward": 0.8977722222222223}
{"step": 1930, "loss": 0.5181555151939392, "train_mean_reward": 0.9693752604166668, "eval_mean_reward": 0.8977722222222223}
{"step": 1940, "loss": 0.49901047348976135, "train_mean_reward": 0.9678127604166668, "eval_mean_reward": 0.8977722222222223}
{"step": 1950, "loss": 0.5326454043388367, "train_mean_reward": 0.9670315104166668, "eval_mean_reward": 0.8977722222222223}
{"step": 1960, "loss": 0.5076662302017212, "train_mean_reward": 0.9662502604166668, "eval_mean_reward": 0.8977722222222223}
{"step": 1970, "loss": 0.5025016069412231, "train_mean_reward": 0.9693752604166668, "eval_mean_reward": 0.9061055555555557}
{"step": 1980, "loss": 0.5242515206336975, "train_mean_reward": 0.9748440104166666, "eval_mean_reward": 0.8977722222222223}
{"step": 1990, "loss": 0.502483069896698, "train_mean_reward": 0.9678127604166668, "eval_mean_reward": 0.8977722222222223}
{"step": 2000, "loss": 0.5246036648750305, "train_mean_reward": 0.9725002604166667, "eval_mean_reward": 0.8989626984126986}
{"step": 2010, "loss": 0.49725914001464844, "train_mean_reward": 0.9670315104166667, "eval_mean_reward": 0.8977722222222223}
{"step": 2020, "loss": 0.5331791043281555, "train_mean_reward": 0.9631252604166669, "eval_mean_reward": 0.8977722222222223}
{"step": 2030, "loss": 0.47442060708999634, "train_mean_reward": 0.9646877604166669, "eval_mean_reward": 0.8977722222222223}
{"step": 2040, "loss": 0.5192790627479553, "train_mean_reward": 0.9717190104166666, "eval_mean_reward": 0.8977722222222223}
{"step": 2050, "loss": 0.492135614156723, "train_mean_reward": 0.9670315104166668, "eval_mean_reward": 0.8977722222222223}
{"step": 2060, "loss": 0.5304624438285828, "train_mean_reward": 0.9670315104166668, "eval_mean_reward": 0.8977722222222223}
{"step": 2070, "loss": 0.5602712631225586, "train_mean_reward": 0.966250260416667, "eval_mean_reward": 0.8977722222222223}
{"step": 2080, "loss": 0.508266031742096, "train_mean_reward": 0.9685940104166667, "eval_mean_reward": 0.8989626984126986}
{"step": 2090, "loss": 0.4943632483482361, "train_mean_reward": 0.9732815104166668, "eval_mean_reward": 0.8989626984126986}
{"step": 2100, "loss": 0.4998933970928192, "train_mean_reward": 0.9709377604166668, "eval_mean_reward": 0.8977722222222223}
{"step": 2110, "loss": 0.4993914067745209, "train_mean_reward": 0.9670315104166668, "eval_mean_reward": 0.8989626984126986}
{"step": 2120, "loss": 0.5021381974220276, "train_mean_reward": 0.9693752604166668, "eval_mean_reward": 0.8989626984126986}
{"step": 2130, "loss": 0.5184056758880615, "train_mean_reward": 0.9709377604166667, "eval_mean_reward": 0.8989626984126986}
{"step": 2140, "loss": 0.507962167263031, "train_mean_reward": 0.9732815104166667, "eval_mean_reward": 0.8989626984126986}
{"step": 2150, "loss": 0.504450798034668, "train_mean_reward": 0.9654690104166669, "eval_mean_reward": 0.8989626984126986}
{"step": 2160, "loss": 0.49908676743507385, "train_mean_reward": 0.9693752604166668, "eval_mean_reward": 0.8989626984126986}
{"step": 2170, "loss": 0.49909883737564087, "train_mean_reward": 0.9662502604166668, "eval_mean_reward": 0.8977722222222223}
{"step": 2180, "loss": 0.5125466585159302, "train_mean_reward": 0.9678127604166669, "eval_mean_reward": 0.8989626984126986}
{"step": 2190, "loss": 0.5071992874145508, "train_mean_reward": 0.9646877604166669, "eval_mean_reward": 0.8977722222222223}
{"step": 2200, "loss": 0.48279765248298645, "train_mean_reward": 0.9662502604166667, "eval_mean_reward": 0.8989626984126986}
{"step": 2210, "loss": 0.47998669743537903, "train_mean_reward": 0.9639065104166669, "eval_mean_reward": 0.8989626984126986}
{"step": 2220, "loss": 0.4746719300746918, "train_mean_reward": 0.9646877604166668, "eval_mean_reward": 0.8977722222222223}
{"step": 2230, "loss": 0.49095356464385986, "train_mean_reward": 0.963906510416667, "eval_mean_reward": 0.8989626984126986}
{"step": 2240, "loss": 0.4800255596637726, "train_mean_reward": 0.9678127604166669, "eval_mean_reward": 0.8989626984126986}
{"step": 2250, "loss": 0.5123313665390015, "train_mean_reward": 0.9678127604166668, "eval_mean_reward": 0.8989626984126986}
{"step": 2260, "loss": 0.5259388089179993, "train_mean_reward": 0.9701565104166667, "eval_mean_reward": 0.8977722222222223}
